dataset,battery_name,window_start,mse,mae,rmse,mse_raw,mae_raw,rmse_raw
test_CALCE,CALCE_CX2_35,450,0.00046804330047640186,0.017121567669146784,0.021634308412251172,0.00046804330047640186,0.017121567669146784,0.021634308412251172
test_CALCE,CALCE_CX2_35,50,0.004619650219498167,0.06700682000940894,0.06796800879456576,0.004619650219498167,0.06700682000940894,0.06796800879456576
test_CALCE,CALCE_CX2_35,500,0.004510870057927993,0.06676682566919837,0.06716301108443541,0.004510870057927993,0.06676682566919837,0.06716301108443541
test_CALCE,CALCE_CX2_35,550,0.027870054869130585,0.16634972193696335,0.16694326841514331,0.027870054869130585,0.16634972193696335,0.16694326841514331
test_CALCE,CALCE_CX2_35,600,0.014370634468390632,0.11941685264814246,0.11987758117509141,0.014370634468390632,0.11941685264814246,0.11987758117509141
test_CALCE,CALCE_CX2_35,650,0.0007214832394442337,0.025481486880135514,0.0268604400456179,0.0007214832394442337,0.025481486880135514,0.0268604400456179
test_CALCE,CALCE_CX2_35,700,0.03587144756644263,0.18912783290096521,0.18939759123717131,0.03587144756644263,0.18912783290096521,0.18939759123717131
test_CALCE,CALCE_CX2_35,750,0.03661961428118739,0.19080322233670072,0.19136252057596698,0.03661961428118739,0.19080322233670072,0.19136252057596698
test_CALCE,CALCE_CX2_35,800,0.0462001544202723,0.2142839353166866,0.21494221181580947,0.0462001544202723,0.2142839353166866,0.21494221181580947
test_CALCE,CALCE_CX2_35,850,0.028525155554425606,0.16796235920802677,0.16889391805043072,0.028525155554425606,0.16796235920802677,0.16889391805043072
test_CALCE,CALCE_CX2_35,900,0.0551755387074631,0.23455523339492831,0.23489473963344326,0.0551755387074631,0.23455523339492831,0.23489473963344326
test_CALCE,CALCE_CX2_35,950,0.057611547971191994,0.2397720559168986,0.2400240570676031,0.057611547971191994,0.2397720559168986,0.2400240570676031
test_CALCE,CALCE_CX2_36,0,0.004542584632895131,0.061083152426224245,0.06739869904453001,0.004542584632895131,0.061083152426224245,0.06739869904453001
