battery,window_start,mse_win,mae_win,rmse_win,mse_bat,mae_bat,rmse_bat
HUST_1-8,600,0.000018,0.003439,0.004231,0.007578,0.062965,0.087052
HUST_1-8,650,0.000024,0.003966,0.004901,0.007367,0.062117,0.085831
HUST_1-8,700,0.000032,0.004584,0.005673,0.007140,0.061242,0.084497
HUST_1-8,750,0.000040,0.005207,0.006344,0.006906,0.060394,0.083104
HUST_1-8,800,0.000048,0.005769,0.006935,0.006666,0.059577,0.081647
HUST_1-8,850,0.000055,0.006164,0.007405,0.006415,0.058783,0.080091
HUST_1-8,900,0.000062,0.006556,0.007887,0.006171,0.058094,0.078554
HUST_1-8,950,0.000067,0.006792,0.008202,0.005918,0.057477,0.076927
HUST_1-8,1000,0.000070,0.006848,0.008364,0.005661,0.056986,0.075239
HUST_1-8,1050,0.000074,0.006975,0.008604,0.005437,0.056730,0.073733
HUST_1-8,1100,0.000074,0.007026,0.008592,0.005242,0.056739,0.072399
HUST_1-8,1150,0.000071,0.006883,0.008444,0.005088,0.057011,0.071332
HUST_1-8,1200,0.000065,0.006533,0.008078,0.004971,0.057574,0.070509
HUST_1-8,1250,0.000066,0.006571,0.008121,0.004934,0.058506,0.070245
HUST_1-8,1300,0.000063,0.006509,0.007955,0.004971,0.059954,0.070505
HUST_1-8,1350,0.000066,0.006713,0.008097,0.005104,0.061799,0.071440
HUST_1-8,1400,0.000067,0.006907,0.008216,0.005361,0.064283,0.073217
HUST_1-8,1450,0.000075,0.007327,0.008645,0.005757,0.067276,0.075877
HUST_1-8,1500,0.000083,0.007802,0.009116,0.006346,0.071048,0.079664
HUST_1-8,1550,0.000093,0.008293,0.009641,0.007149,0.075528,0.084553
HUST_1-8,1600,0.000103,0.008759,0.010131,0.008236,0.080935,0.090751
HUST_1-8,1650,0.000114,0.009220,0.010685,0.009597,0.087058,0.097965
HUST_1-8,1700,0.000129,0.009823,0.011337,0.011302,0.094076,0.106313
HUST_1-8,1750,0.000145,0.010428,0.012048,0.013428,0.102138,0.115880
HUST_1-8,1800,0.000160,0.010946,0.012639,0.015936,0.110957,0.126237
HUST_1-8,1850,0.000170,0.011312,0.013034,0.018910,0.120718,0.137513
HUST_1-8,1900,0.000181,0.011478,0.013438,0.022281,0.131130,0.149267
HUST_1-8,1950,0.000164,0.011132,0.012815,0.025946,0.141871,0.161078
HUST_1-8,2000,0.000164,0.010656,0.012797,0.029895,0.152938,0.172903
HUST_1-8,2050,0.000175,0.011265,0.013226,0.033946,0.164026,0.184244
